"player";"position";"apps";"min";"goals";"NPG";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
"Lamine Yamal";"F M";27;2238;15;13;11;4.54;2.9;13.79;12.19;0.55;0.49
"Ferrán Torres";"F M";28;1713;14;14;1;3.26;1;14.78;2.25;0.78;0.12
"Robert Lewandowski";"F";25;1173;12;11;1;4.22;0.69;14.51;1.71;1.11;0.13
"Raphinha";"F M";20;1336;11;8;3;3.91;2.56;9.97;5.76;0.67;0.39
"Dani Olmo";"F M";26;1630;7;7;7;3.31;2.37;7.53;5.5;0.42;0.3
"Marcus Rashford";"F M";26;1436;6;6;6;4.32;2.44;7.91;4.25;0.5;0.27
"Fermín López";"M";25;1447;5;5;8;3.48;1.93;6.2;7.18;0.39;0.45
"Ronald Araújo";"D";20;937;3;3;0;0.96;0.29;2.24;0.6;0.22;0.06
"Pedri";"M";23;1642;2;2;7;1.04;2.8;2.35;4.84;0.13;0.27
"Marc Bernal";"M";17;533;2;2;1;1.01;0.84;1;0.67;0.17;0.11
"João Cancelo";"D";9;544;1;1;2;1.82;1.49;0.89;2.18;0.15;0.36
"Jules Koundé";"D";26;1915;1;1;3;0.56;0.94;2.11;4.21;0.1;0.2
"Frenkie de Jong";"M";20;1493;1;1;5;0.42;1.93;1.08;4.76;0.07;0.29
"Eric Garcia";"D M";29;2367;1;1;1;0.91;1.03;3.32;1.78;0.13;0.07
"Pau Cubarsí";"D";26;2310;1;1;0;0.39;0.19;0.55;0.44;0.02;0.02
"Roony Bardghji";"F M";16;362;1;1;1;3.98;2.73;1.48;1.71;0.37;0.43
"Andreas Christensen";"D";12;346;0;0;0;0.52;0.26;0.13;0.02;0.03;0
"Wojciech Szczesny";"GK";6;540;0;0;0;0;0;0;0;0;0
"Joan García";"GK";25;2250;0;0;0;0;0;0;0;0;0
"Gavi";"M";5;127;0;0;1;0;2.83;0;0.22;0;0.16
"Álex Balde";"D";22;1622;0;0;2;0.44;1.17;0.31;2.84;0.02;0.16
"Marc Casadó";"M";20;887;0;0;1;0.91;1.12;0.46;0.46;0.05;0.05
"Gerard Martín";"D";26;1605;0;0;0;0.28;0.67;0.23;0.74;0.01;0.04
"Toni Fernández";"F";1;48;0;0;0;0;1.88;0;0.09;0;0.17
"Jofre Torrents";"S";3;33;0;0;0;0;0;0;0;0;0
"Dro Fernández";"M";4;83;0;0;0;0;2.17;0;0.05;0;0.06
"Xavi Espart";"D";2;91;0;0;0;0;0;0;0;0;0
"Tomás Marqués";"S";1;3;0;0;0;0;0;0;0;0;0
